Sample,Trt,Rep,Block,SoilType,Variety,SoilYear,DateGerm,WCR,DateWCR,WCRAdded,Height,Vstage,RootMass,ShootMass,RootShootRatio,WCRRecovered,WCRSurvival,WCRWeightAvg,WCRInstarAvg,WCRTotalWeight,WCR3rdInstar
C04,C,4,1,CCRadish,MastersChoice,2021,6/7/2021,yes,7/14/2021,15,NA,NA,NA,1.3589,NA,2,0.133333333,2.4115,3,4.823,
C05,C,5,1,CCRadish,MastersChoice,2021,6/7/2021,no,7/14/2021,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
C06,C,6,1,CCRadish,MastersChoice,2021,6/7/2021,yes,7/14/2021,20,NA,NA,NA,0.897,NA,2,0.1,1.622,3,3.244,
C07,C,7,1,CCRadish,MastersChoice,2021,6/7/2021,no,7/14/2021,0,NA,NA,2.8733,1.077,2.667873723,NA,NA,NA,NA,NA,
C08,C,8,1,CCRadish,MastersChoice,2021,6/7/2021,yes,7/14/2021,20,NA,NA,NA,0.8996,NA,1,0.05,0.883,3,0.883,
D01,D,1,1,CCTriticale,MastersChoice,2021,6/7/2021,yes,7/14/2021,20,NA,NA,NA,1.3162,NA,2,0.1,0.4915,2.5,0.983,
D02,D,2,1,CCTriticale,MastersChoice,2021,6/7/2021,no,7/14/2021,0,NA,NA,2.6276,1.4898,1.763726675,NA,NA,NA,NA,NA,
D03,D,3,1,CCTriticale,MastersChoice,2021,6/7/2021,no,7/14/2021,0,NA,NA,2.572,1.0897,2.360282647,NA,NA,NA,NA,NA,
D04,D,4,1,CCTriticale,MastersChoice,2021,6/7/2021,no,7/14/2021,0,NA,NA,2.4306,1.1353,2.140931912,NA,NA,NA,NA,NA,
D05,D,5,1,CCTriticale,MastersChoice,2021,6/7/2021,no,7/14/2021,0,NA,NA,2.7386,0.8054,3.400297989,NA,NA,NA,NA,NA,
D06,D,6,1,CCTriticale,MastersChoice,2021,6/7/2021,yes,7/14/2021,20,NA,NA,NA,0.8595,NA,5,0.25,0.288,2,1.44,
D07,D,7,1,CCTriticale,MastersChoice,2021,6/7/2021,no,7/14/2021,0,NA,NA,1.5567,1.0281,1.51415232,NA,NA,NA,NA,NA,
D08,D,8,1,CCTriticale,MastersChoice,2021,6/7/2021,yes,7/14/2021,20,NA,NA,NA,1.2594,NA,3,0.15,0.636,2.333333333,1.908,
E01,E,1,1,CCMix,MastersChoice,2021,6/7/2021,no,7/14/2021,0,NA,NA,0.8837,0.6356,1.390339836,NA,NA,NA,NA,NA,
E02,E,2,1,CCMix,MastersChoice,2021,6/7/2021,no,7/14/2021,0,NA,NA,4.5173,1.3623,3.315936284,NA,NA,NA,NA,NA,
E03,E,3,1,CCMix,MastersChoice,2021,6/7/2021,yes,7/14/2021,20,NA,NA,NA,0.9196,NA,2,0.1,0.187,2,0.374,
E04,E,4,1,CCMix,MastersChoice,2021,6/7/2021,yes,7/14/2021,17,NA,NA,NA,0.8705,NA,2,0.117647059,0.8015,2.5,1.603,
E05,E,5,1,CCMix,MastersChoice,2021,6/7/2021,yes,7/14/2021,20,NA,NA,NA,1.2207,NA,0,0,NA,NA,NA,
E06,E,6,1,CCMix,MastersChoice,2021,6/7/2021,no,7/14/2021,0,NA,NA,3.695,0.8144,4.537082515,NA,NA,NA,NA,NA,
E07,E,7,1,CCMix,MastersChoice,2021,6/7/2021,no,7/14/2021,0,NA,NA,1.7231,0.8142,2.116310489,NA,NA,NA,NA,NA,
E08,E,8,1,CCMix,MastersChoice,2021,6/7/2021,no,7/14/2021,0,NA,NA,1.031,1.2272,0.840123859,NA,NA,NA,NA,NA,
F01,F,1,1,ConvFallow,MastersChoice,2021,6/7/2021,no,7/14/2021,0,NA,NA,0.6602,0.4318,1.528948587,NA,NA,NA,NA,NA,
F02,F,2,1,ConvFallow,MastersChoice,2021,6/7/2021,yes,7/14/2021,20,NA,NA,NA,0.5657,NA,1,0.05,0.335,2,0.335,
F03,F,3,1,ConvFallow,MastersChoice,2021,6/7/2021,no,7/14/2021,0,NA,NA,2.205,0.7186,3.068466463,NA,NA,NA,NA,NA,
F04,F,4,1,ConvFallow,MastersChoice,2021,6/7/2021,no,7/14/2021,0,NA,NA,1.8815,1.4095,1.334870521,NA,NA,NA,NA,NA,
F05,F,5,1,ConvFallow,MastersChoice,2021,6/7/2021,yes,7/14/2021,20,NA,NA,NA,0.8044,NA,1,0.05,0.573,3,0.573,
F06,F,6,1,ConvFallow,MastersChoice,2021,6/7/2021,no,7/14/2021,0,NA,NA,1.2998,0.7077,1.836653949,NA,NA,NA,NA,NA,
F07,F,7,1,ConvFallow,MastersChoice,2021,6/7/2021,yes,7/14/2021,18,NA,NA,NA,0.6344,NA,1,0.055555556,0.326,2,0.326,
F08,F,8,1,ConvFallow,MastersChoice,2021,6/7/2021,no,7/14/2021,0,NA,NA,0.6477,0.8595,0.753577661,NA,NA,NA,NA,NA,
G01,G,1,1,CCFallow,BlueRiverOrganic,2021,6/7/2021,no,7/14/2021,0,NA,NA,0.6842,1.0549,0.648592284,NA,NA,NA,NA,NA,
G02,G,2,1,CCFallow,BlueRiverOrganic,2021,6/7/2021,yes,7/14/2021,16,NA,NA,NA,0.8781,NA,1,0.0625,1.61,3,1.61,
G03,G,3,1,CCFallow,BlueRiverOrganic,2021,6/7/2021,yes,7/14/2021,20,NA,NA,NA,0.9132,NA,1,0.05,2.024,3,2.024,
G04,G,4,1,CCFallow,BlueRiverOrganic,2021,6/7/2021,no,7/14/2021,0,NA,NA,2.1037,1.2454,1.689176168,NA,NA,NA,NA,NA,
G05,G,5,1,CCFallow,BlueRiverOrganic,2021,6/7/2021,no,7/14/2021,0,NA,NA,2.5585,1.333,1.919354839,NA,NA,NA,NA,NA,
G06,G,6,1,CCFallow,BlueRiverOrganic,2021,6/7/2021,no,7/14/2021,0,NA,NA,2.1889,0.8834,2.477812995,NA,NA,NA,NA,NA,
G07,G,7,1,CCFallow,BlueRiverOrganic,2021,6/7/2021,yes,7/14/2021,20,NA,NA,NA,1.0197,NA,4,0.2,0.9875,2.75,3.95,
G08,G,8,1,CCFallow,BlueRiverOrganic,2021,6/7/2021,no,7/14/2021,0,NA,NA,1.4625,0.999,1.463963964,NA,NA,NA,NA,NA,
H01,H,1,1,CCPea,BlueRiverOrganic,2021,6/7/2021,no,7/14/2021,0,NA,NA,5.5573,1.9889,2.794157575,NA,NA,NA,NA,NA,
H02,H,2,1,CCPea,BlueRiverOrganic,2021,6/7/2021,yes,7/14/2021,17,NA,NA,NA,0.9193,NA,1,0.058823529,3.32,3,3.32,
H03,H,3,1,CCPea,BlueRiverOrganic,2021,6/7/2021,no,7/14/2021,0,NA,NA,4.5295,1.5814,2.864234223,NA,NA,NA,NA,NA,
H04,H,4,1,CCPea,BlueRiverOrganic,2021,6/7/2021,no,7/14/2021,0,NA,NA,2.4502,0.8852,2.767962042,NA,NA,NA,NA,NA,
H05,H,5,1,CCPea,BlueRiverOrganic,2021,6/7/2021,yes,7/14/2021,20,NA,NA,NA,1.19,NA,0,0,NA,NA,NA,
H06,H,6,1,CCPea,BlueRiverOrganic,2021,6/7/2021,yes,7/14/2021,20,NA,NA,NA,1.7594,NA,4,0.2,1.34,3,5.36,
H07,H,7,1,CCPea,BlueRiverOrganic,2021,6/7/2021,no,7/14/2021,0,NA,NA,3.8318,1.3459,2.847016866,NA,NA,NA,NA,NA,
H08,H,8,1,CCPea,BlueRiverOrganic,2021,6/7/2021,no,7/14/2021,0,NA,NA,1.9089,1.0757,1.774565399,NA,NA,NA,NA,NA,
I01,I,1,1,CCRadish,BlueRiverOrganic,2021,6/7/2021,no,7/14/2021,0,NA,NA,1.6842,0.4926,3.419001218,NA,NA,NA,NA,NA,
I02,I,2,1,CCRadish,BlueRiverOrganic,2021,6/7/2021,yes,7/14/2021,18,NA,NA,NA,0.6629,NA,2,0.111111111,0.9805,2,1.961,
I03,I,3,1,CCRadish,BlueRiverOrganic,2021,6/7/2021,no,7/14/2021,0,NA,NA,4.6707,1.2001,3.891925673,NA,NA,NA,NA,NA,
I04,I,4,1,CCRadish,BlueRiverOrganic,2021,6/7/2021,no,7/14/2021,0,NA,NA,2.5919,1.0894,2.379199559,NA,NA,NA,NA,NA,
I05,I,5,1,CCRadish,BlueRiverOrganic,2021,6/7/2021,no,7/14/2021,0,NA,NA,3.2625,1.1804,2.763893595,NA,NA,NA,NA,NA,
I06,I,6,1,CCRadish,BlueRiverOrganic,2021,6/7/2021,yes,7/14/2021,20,NA,NA,NA,0.884,NA,0,0,NA,NA,NA,
I07,I,7,1,CCRadish,BlueRiverOrganic,2021,6/7/2021,yes,7/14/2021,20,NA,NA,NA,1.0544,NA,3,0.15,1.007333333,2.666666667,3.022,
I08,I,8,1,CCRadish,BlueRiverOrganic,2021,6/7/2021,no,7/14/2021,0,NA,NA,1.75,1.0473,1.67096343,NA,NA,NA,NA,NA,
J01,J,1,1,CCTriticale,BlueRiverOrganic,2021,6/7/2021,no,7/14/2021,0,NA,NA,2.31,1.339,1.725168036,NA,NA,NA,NA,NA,
J02,J,2,1,CCTriticale,BlueRiverOrganic,2021,6/7/2021,yes,7/14/2021,16,NA,NA,NA,0.8029,NA,0,0,NA,NA,NA,
J03,J,3,1,CCTriticale,BlueRiverOrganic,2021,6/7/2021,no,7/14/2021,0,NA,NA,4.2718,1.0118,4.221980629,NA,NA,NA,NA,NA,
J04,J,4,1,CCTriticale,BlueRiverOrganic,2021,6/7/2021,no,7/14/2021,0,NA,NA,2.1066,1.0074,2.09112567,NA,NA,NA,NA,NA,
J05,J,5,1,CCTriticale,BlueRiverOrganic,2021,6/7/2021,no,7/14/2021,0,NA,NA,1.8112,0.6148,2.945998699,NA,NA,NA,NA,NA,
J06,J,6,1,CCTriticale,BlueRiverOrganic,2021,6/7/2021,yes,7/14/2021,19,NA,NA,NA,0.8632,NA,0,0,NA,NA,NA,
J07,J,7,1,CCTriticale,BlueRiverOrganic,2021,6/7/2021,no,7/14/2021,0,NA,NA,1.9543,0.6681,2.925160904,NA,NA,NA,NA,NA,
J08,J,8,1,CCTriticale,BlueRiverOrganic,2021,6/7/2021,yes,7/14/2021,20,NA,NA,NA,1.0233,NA,1,0.05,0.452,2,0.452,
K01,K,1,1,CCMix,BlueRiverOrganic,2021,6/7/2021,no,7/14/2021,0,NA,NA,1.9002,1.0612,1.790614399,NA,NA,NA,NA,NA,
K02,K,2,1,CCMix,BlueRiverOrganic,2021,6/7/2021,no,7/14/2021,0,NA,NA,4.0072,1.4052,2.851693709,NA,NA,NA,NA,NA,
K03,K,3,1,CCMix,BlueRiverOrganic,2021,6/7/2021,no,7/14/2021,0,NA,NA,4.1169,1.0773,3.82149819,NA,NA,NA,NA,NA,
K04,K,4,1,CCMix,BlueRiverOrganic,2021,6/7/2021,yes,7/14/2021,18,NA,NA,NA,1.321,NA,0,0,NA,NA,NA,
K05,K,5,1,CCMix,BlueRiverOrganic,2021,6/7/2021,yes,7/14/2021,20,NA,NA,NA,1.0419,NA,7,0.35,1.2595,2.666666667,8.8165,
K06,K,6,1,CCMix,BlueRiverOrganic,2021,6/7/2021,yes,7/14/2021,18,NA,NA,NA,0.9809,NA,0,0,NA,NA,NA,
K07,K,7,1,CCMix,BlueRiverOrganic,2021,6/7/2021,no,7/14/2021,0,NA,NA,0.1936,0.0735,2.634013605,NA,NA,NA,NA,NA,
K08,K,8,1,CCMix,BlueRiverOrganic,2021,6/7/2021,no,7/14/2021,0,NA,NA,2.1097,NA,NA,NA,NA,NA,NA,NA,
L01,L,1,1,ConvFallow,BlueRiverOrganic,2021,6/7/2021,yes,7/14/2021,18,NA,NA,NA,0.7666,NA,0,0,NA,NA,NA,
L02,L,2,1,ConvFallow,BlueRiverOrganic,2021,6/7/2021,no,7/14/2021,0,NA,NA,1.5567,0.7588,2.05152873,NA,NA,NA,NA,NA,
L03,L,3,1,ConvFallow,BlueRiverOrganic,2021,6/7/2021,yes,7/14/2021,20,NA,NA,NA,0.7987,NA,1,0.05,0.041,1,0.041,
L04,L,4,1,ConvFallow,BlueRiverOrganic,2021,6/7/2021,no,7/14/2021,0,NA,NA,1.9882,0.7302,2.722815667,NA,NA,NA,NA,NA,
L05,L,5,1,ConvFallow,BlueRiverOrganic,2021,6/7/2021,no,7/14/2021,0,NA,NA,2.0617,0.7298,2.825020554,NA,NA,NA,NA,NA,
L06,L,6,1,ConvFallow,BlueRiverOrganic,2021,6/7/2021,no,7/14/2021,0,NA,NA,0.9015,0.9089,0.99185829,NA,NA,NA,NA,NA,
L07,L,7,1,ConvFallow,BlueRiverOrganic,2021,6/7/2021,yes,7/14/2021,20,NA,NA,NA,0.927,NA,1,0.05,2.707,3,2.707,
L08,L,8,1,ConvFallow,BlueRiverOrganic,2021,6/7/2021,no,7/14/2021,0,NA,NA,2.2891,0.6226,3.676678445,NA,NA,NA,NA,NA,
A09,A,9,2,CCFallow,MastersChoice,2021,7/6/2021,no,8/4/2021,0,38,5,0.9615,1.0309,0.932680182,NA,NA,NA,NA,NA,NA
A10,A,10,2,CCFallow,MastersChoice,2021,7/6/2021,yes,8/4/2021,20,29,5,NA,0.8967,NA,1,0.05,1.164,3,1.164,1
A11,A,11,2,CCFallow,MastersChoice,2021,7/6/2021,yes,8/4/2021,20,30,5,NA,1.0725,NA,5,0.25,0.3538,2.8,1.769,0.8
A12,A,12,2,CCFallow,MastersChoice,2021,7/6/2021,no,8/4/2021,0,33,4,0.8368,1.0317,0.811088495,NA,NA,NA,NA,NA,NA
A13,A,13,2,CCFallow,MastersChoice,2021,7/6/2021,yes,8/4/2021,20,32,5,NA,0.9006,NA,8,0.4,0.15275,2.25,1.222,0.375
A14,A,14,2,CCFallow,MastersChoice,2021,7/6/2021,yes,8/4/2021,19,34,5,NA,0.9694,NA,7,0.368,0.332,2.857,2.327,0.857142857
A15,A,15,2,CCFallow,MastersChoice,2021,7/6/2021,yes,8/4/2021,1,28,5,1.4916,1.0416,1.43202765,NA,NA,NA,NA,NA,NA
A16,A,16,2,CCFallow,MastersChoice,2021,7/6/2021,no,8/4/2021,0,31,5,0.8132,0.9806,0.829288191,NA,NA,NA,NA,NA,NA
B09,B,9,2,CCPea,MastersChoice,2021,7/6/2021,yes,8/4/2021,20,34,5,NA,1.0979,NA,2,0.1,1.794,3,3.587,1
B10,B,10,2,CCPea,MastersChoice,2021,7/6/2021,yes,8/4/2021,20,35,5,NA,1.6303,NA,2,0.1,0.44,3,0.879,1
B11,B,11,2,CCPea,MastersChoice,2021,7/6/2021,yes,8/4/2021,1,45,5,1.6842,1.5952,1.055792377,NA,NA,NA,NA,NA,NA
B12,B,12,2,CCPea,MastersChoice,2021,7/6/2021,no,8/4/2021,0,38,5,1.0006,1.3443,0.744327903,NA,NA,NA,NA,NA,NA
B13,B,13,2,CCPea,MastersChoice,2021,7/6/2021,no,8/4/2021,0,35,5,1.6446,1.5769,1.042932336,NA,NA,NA,NA,NA,NA
B14,B,14,2,CCPea,MastersChoice,2021,7/6/2021,yes,8/4/2021,20,34,5,NA,1.2155,NA,9,0.45,0.414,2.778,3.722,0.777777778
B15,B,15,2,CCPea,MastersChoice,2021,7/6/2021,no,8/4/2021,0,33,5,0.9147,1.1416,0.801243868,NA,NA,NA,NA,NA,NA
B16,B,16,2,CCPea,MastersChoice,2021,7/6/2021,yes,8/4/2021,20,30,5,NA,1.1208,NA,2,0.1,0.498,3,0.996,1
C09,C,9,2,CCRadish,MastersChoice,2021,7/6/2021,yes,8/4/2021,18,29,4,NA,0.9456,NA,10,0.555555556,0.4215,2.9,4.215,0.9
C10,C,10,2,CCRadish,MastersChoice,2021,7/6/2021,no,8/4/2021,0,29,4,0.796,0.749,1.062750334,NA,NA,NA,NA,NA,NA
C11,C,11,2,CCRadish,MastersChoice,2021,7/6/2021,no,8/4/2021,0,28,5,0.687,0.8012,0.857463804,NA,NA,NA,NA,NA,NA
C12,C,12,2,CCRadish,MastersChoice,2021,7/6/2021,no,8/4/2021,0,32,4,0.4537,0.7557,0.600370517,NA,NA,NA,NA,NA,NA
C13,C,13,2,CCRadish,MastersChoice,2021,7/6/2021,yes,8/4/2021,20,36,5,NA,1.1412,NA,8,0.4,0.202875,2.875,1.623,0.875
C14,C,14,2,CCRadish,MastersChoice,2021,7/6/2021,no,8/4/2021,0,23,4,0.3833,0.5907,0.648891146,NA,NA,NA,NA,NA,NA
C15,C,15,2,CCRadish,MastersChoice,2021,7/6/2021,yes,8/4/2021,20,28,4,NA,0.852,NA,11,0.55,0.211454545,2.909090909,2.326,0.909090909
C16,C,16,2,CCRadish,MastersChoice,2021,7/6/2021,yes,8/4/2021,19,35,5,NA,0.805,NA,8,0.421052632,0.23075,2.625,1.846,0.625
D09,D,9,2,CCTriticale,MastersChoice,2021,7/6/2021,yes,8/4/2021,18,32,4,NA,0.871,NA,4,0.222222222,0.4735,3,1.894,1
D10,D,10,2,CCTriticale,MastersChoice,2021,7/6/2021,no,8/4/2021,0,33,4,0.9322,1.1949,0.780148966,NA,NA,NA,NA,NA,NA
D11,D,11,2,CCTriticale,MastersChoice,2021,7/6/2021,no,8/4/2021,0,38,5,0.5368,0.9542,0.5625655,NA,NA,NA,NA,NA,NA
D12,D,12,2,CCTriticale,MastersChoice,2021,7/6/2021,no,8/4/2021,0,38,5,0.6584,0.817,0.805875153,NA,NA,NA,NA,NA,NA
D13,D,13,2,CCTriticale,MastersChoice,2021,7/6/2021,yes,8/4/2021,19,35,4,NA,1.0169,NA,3,0.157894737,0.213666667,3,0.641,1
D14,D,14,2,CCTriticale,MastersChoice,2021,7/6/2021,no,8/4/2021,0,24,5,0.6279,0.6744,0.931049822,NA,NA,NA,NA,NA,NA
D15,D,15,2,CCTriticale,MastersChoice,2021,7/6/2021,yes,8/4/2021,18,30,5,NA,0.8028,NA,2,0.111111111,0.25,2.5,0.5,0.5
D16,D,16,2,CCTriticale,MastersChoice,2021,7/6/2021,yes,8/4/2021,20,25,5,NA,0.8523,NA,3,0.15,0.655666667,3,1.967,1
E09,E,9,2,CCMix,MastersChoice,2021,7/6/2021,yes,8/4/2021,20,37,5,NA,1.161,NA,3,0.15,0.234,2.666666667,0.702,0.666666667
E10,E,10,2,CCMix,MastersChoice,2021,7/6/2021,yes,8/4/2021,20,35,5,NA,1.2239,NA,11,0.55,0.356818182,2.545454545,3.925,0.545454545
E11,E,11,2,CCMix,MastersChoice,2021,7/6/2021,no,8/4/2021,0,31,4,1.3889,1.7807,0.779974167,NA,NA,NA,NA,NA,NA
E12,E,12,2,CCMix,MastersChoice,2021,7/6/2021,no,8/4/2021,0,29,5,0.5349,0.825,0.648363636,NA,NA,NA,NA,NA,NA
E13,E,13,2,CCMix,MastersChoice,2021,7/6/2021,yes,8/4/2021,20,36,5,NA,0.7139,NA,3,0.15,0.210333333,2.666666667,0.631,0.666666667
E14,E,14,2,CCMix,MastersChoice,2021,7/6/2021,no,8/4/2021,0,35,5,0.6468,1.225,0.528,NA,NA,NA,NA,NA,NA
E15,E,15,2,CCMix,MastersChoice,2021,7/6/2021,yes,8/4/2021,20,39,5,NA,1.0701,NA,8,0.4,0.459875,2.75,3.679,0.75
E16,E,16,2,CCMix,MastersChoice,2021,7/6/2021,no,8/4/2021,0,26,5,0.937,1.0342,0.906014311,NA,NA,NA,NA,NA,NA
F09,F,9,2,ConvFallow,MastersChoice,2021,7/6/2021,yes,8/4/2021,20,25,5,NA,0.5705,NA,5,0.25,0.1366,2.4,0.683,0.4
F10,F,10,2,ConvFallow,MastersChoice,2021,7/6/2021,no,8/4/2021,0,26,5,0.3694,0.6752,0.547097156,NA,NA,NA,NA,NA,NA
F11,F,11,2,ConvFallow,MastersChoice,2021,7/6/2021,no,8/4/2021,0,38,5,1.0598,0.8654,1.224636006,NA,NA,NA,NA,NA,NA
F12,F,12,2,ConvFallow,MastersChoice,2021,7/6/2021,yes,8/4/2021,19,26,5,NA,0.5455,NA,6,0.315789474,0.174333333,2.5,1.046,0.5
F13,F,13,2,ConvFallow,MastersChoice,2021,7/6/2021,no,8/4/2021,0,34,4,0.9065,1.0555,0.858834676,NA,NA,NA,NA,NA,NA
F14,F,14,2,ConvFallow,MastersChoice,2021,7/6/2021,no,8/4/2021,0,34,5,0.5696,0.7063,0.80645618,NA,NA,NA,NA,NA,NA
F15,F,15,2,ConvFallow,MastersChoice,2021,7/6/2021,yes,8/4/2021,19,33,4,NA,0.7054,NA,5,0.263157895,0.2418,2.4,1.209,0.4
F16,F,16,2,ConvFallow,MastersChoice,2021,7/6/2021,yes,8/4/2021,20,33,5,NA,0.5923,NA,9,0.45,0.264444444,2.666666667,2.38,0.666666667
G09,G,9,2,CCFallow,BlueRiverOrganic,2021,7/6/2021,no,8/4/2021,0,27,5,0.6834,0.8219,0.831488016,NA,NA,NA,NA,NA,NA
G10,G,10,2,CCFallow,BlueRiverOrganic,2021,7/6/2021,yes,8/4/2021,20,35,5,NA,1.1834,NA,3,0.15,0.148333333,2.333333333,0.445,0.333333333
G11,G,11,2,CCFallow,BlueRiverOrganic,2021,7/6/2021,yes,8/4/2021,18,29,5,NA,1.2307,NA,6,0.333333333,0.238833333,2.5,1.433,0.5
G12,G,12,2,CCFallow,BlueRiverOrganic,2021,7/6/2021,no,8/4/2021,0,29,5,0.8725,0.9857,0.885157756,NA,NA,NA,NA,NA,NA
G13,G,13,2,CCFallow,BlueRiverOrganic,2021,7/6/2021,yes,8/4/2021,20,29,5,NA,1.1232,NA,1,0.05,0.124,2,0.124,0
G14,G,14,2,CCFallow,BlueRiverOrganic,2021,7/6/2021,no,8/4/2021,0,34,5,0.5034,1.0465,0.481032011,NA,NA,NA,NA,NA,NA
G15,G,15,2,CCFallow,BlueRiverOrganic,2021,7/6/2021,yes,8/4/2021,1,33,3,0.3361,0.5388,0.623793615,NA,NA,NA,NA,NA,NA
G16,G,16,2,CCFallow,BlueRiverOrganic,2021,7/6/2021,yes,8/4/2021,20,24,5,NA,0.9831,NA,0,0,NA,NA,NA,NA
H09,H,9,2,CCPea,BlueRiverOrganic,2021,7/6/2021,no,8/4/2021,0,31,5,1.1364,1.4219,0.799212322,NA,NA,NA,NA,NA,NA
H10,H,10,2,CCPea,BlueRiverOrganic,2021,7/6/2021,yes,8/4/2021,1,30,5,0.8701,1.335,0.6517603,NA,NA,NA,NA,NA,NA
H11,H,11,2,CCPea,BlueRiverOrganic,2021,7/6/2021,yes,8/4/2021,20,31,5,NA,1.4678,NA,3,0.15,0.412333333,3,1.237,1
H12,H,12,2,CCPea,BlueRiverOrganic,2021,7/6/2021,no,8/4/2021,0,32,4,1.0818,1.641,0.659232176,NA,NA,NA,NA,NA,NA
H13,H,13,2,CCPea,BlueRiverOrganic,2021,7/6/2021,no,8/4/2021,0,37,5,0.847,1.558,0.5436457,NA,NA,NA,NA,NA,NA
H14,H,14,2,CCPea,BlueRiverOrganic,2021,7/6/2021,yes,8/4/2021,20,32,5,NA,1.4413,NA,0,0,NA,NA,NA,NA
H15,H,15,2,CCPea,BlueRiverOrganic,2021,7/6/2021,yes,8/4/2021,17,32,5,NA,1.8094,NA,4,0.235294118,0.237333333,2.75,0.949333333,0.75
H16,H,16,2,CCPea,BlueRiverOrganic,2021,7/6/2021,yes,8/4/2021,16,35,5,NA,1.5342,NA,3,0.1875,0.286333333,3,0.859,1
I09,I,9,2,CCRadish,BlueRiverOrganic,2021,7/6/2021,no,8/4/2021,0,24,5,0.454,0.7017,0.647000143,NA,NA,NA,NA,NA,NA
I10,I,10,2,CCRadish,BlueRiverOrganic,2021,7/6/2021,yes,8/4/2021,1,24,5,0.9845,0.9085,1.083654375,NA,NA,NA,NA,NA,NA
I11,I,11,2,CCRadish,BlueRiverOrganic,2021,7/6/2021,yes,8/4/2021,20,26,5,NA,0.7112,NA,3,0.15,0.165333333,2.666666667,0.496,0.666666667
I12,I,12,2,CCRadish,BlueRiverOrganic,2021,7/6/2021,no,8/4/2021,0,31,5,0.3516,0.7326,0.47993448,NA,NA,NA,NA,NA,NA
I13,I,13,2,CCRadish,BlueRiverOrganic,2021,7/6/2021,yes,8/4/2021,20,21,5,NA,0.7114,NA,8,0.4,0.373375,2.875,2.987,0.875
I14,I,14,2,CCRadish,BlueRiverOrganic,2021,7/6/2021,no,8/4/2021,0,28,5,0.5449,0.9553,0.570396734,NA,NA,NA,NA,NA,NA
I15,I,15,2,CCRadish,BlueRiverOrganic,2021,7/6/2021,yes,8/4/2021,20,30,5,NA,0.9523,NA,11,0.55,0.184727273,2.454545455,2.032,0.454545455
